address,agentRef,bedrooms,development,identifier,latitude,longitude,outcode,price,propertyType,status,telephoneNumber,tenureType,transactionTypeId,updateDate,publicsiteUrl
"Ormond House, Medway Street, Westminster, London",1110,1,False,64885448,51.49595583363934,-0.13199666020691037,SW1P,695000,flat,Sold STC,020 8012 3748,,1,2017/10/26 22:02:04,http://www.rightmove.co.uk/property-for-sale/property-64885448.html
"South Eaton Place, London, SW1W 9ES",KNH130024,5,False,28225134,51.49367810330069,-0.1528342092818548,SW1W,5950000,end of terrace house,Under Offer,020 8012 3087,Leasehold,1,2017/04/28 10:26:43,http://www.rightmove.co.uk/property-for-sale/property-28225134.html
"Nash House, Lupus Street, London, SW1V",BEL140607_L,3,False,37322100,51.487161112287204,-0.14445532370760436,SW1V,2817,property,,020 8012 1278,,2,2017/08/23 16:04:17,http://www.rightmove.co.uk/property-to-rent/property-37322100.html
"Brunswick Court, Regency Street, London, SW1P",PIM160279,2,False,47318424,51.49245102440557,-0.13213993298471602,SW1P,729950,apartment,Sold STC,020 8012 2895,Leasehold,1,2017/11/01 05:46:03,http://www.rightmove.co.uk/property-for-sale/property-47318424.html
"Lyall Mews, London",SLN140074,4,False,65055752,51.49676308437954,-0.15458237833854624,SW1X,7395000,house,,020 8012 2808,Freehold,1,2017/06/16 22:52:15,http://www.rightmove.co.uk/property-for-sale/property-65055752.html
"Victoria Street, Westminster",27178441,3,False,67938776,51.49680589194657,-0.1345551413517865,SW1H,3500000,flat,,020 8012 7472,,1,2017/11/29 15:26:08,http://www.rightmove.co.uk/property-for-sale/property-67938776.html
"St. Augustine's Mansions, Bloomburg Street, Pimlico, London, SW1V",VIC170018,4,False,46989408,51.49225471698683,-0.13675769233194207,SW1V,1499950,flat,,020 3858 3074,Share of Freehold,1,2017/11/24 14:43:01,http://www.rightmove.co.uk/property-for-sale/property-46989408.html
"Gilbert House, Churchill Gardens, Churchill Gardens Estate, London, SW1V",BEL140278,2,False,56577352,51.4870780777823,-0.14489080783016217,SW1V,470000,apartment,,020 8012 4950,,1,2017/09/27 11:59:02,http://www.rightmove.co.uk/property-for-sale/property-56577352.html
"Chester Row,
London,
SW1W",CHESTERROW11,3,False,24799403,51.49357689363451,-0.15211801013981247,SW1W,2800000,house,Sold STC,020 7730 9253,Freehold,1,2017/11/08 15:28:12,http://www.rightmove.co.uk/property-for-sale/property-24799403.html
"North Court, Great Peter Street, London, SW1P",PIM160097,3,False,63081071,51.49686168388122,-0.12677314644319654,SW1P,2495000,apartment,Sold STC,020 8012 2895,Share of Freehold,1,2017/11/01 05:46:03,http://www.rightmove.co.uk/property-for-sale/property-63081071.html
"Fonthill House, Abbots Manor, Pimlico, London",PIM160061,2,False,58623025,51.489426,-0.146668,SW1V,599950,flat,Sold STC,020 8012 3809,Leasehold,1,2017/11/21 11:09:41,http://www.rightmove.co.uk/property-for-sale/property-58623025.html
"Eaton Square, London, SW1W",SLF160050,3,False,41068026,51.49632420021366,-0.14955776830862633,SW1W,1900000,flat,,020 8012 3126,Leasehold,1,2017/09/27 10:54:54,http://www.rightmove.co.uk/property-for-sale/property-41068026.html
"Astral House, Regency Place, London",CTI001B39,1,False,33489558,51.49452713580141,-0.1326313130724602,SW1P,350,flat,Sold by Us,020 8012 1161,,2,2016/07/22 04:33:55,http://www.rightmove.co.uk/property-to-rent/property-33489558.html
"Marsham Street, Westminster, SW1P",2789,1,False,47839344,51.4923890418352,-0.1282529887324828,SW1P,450000,apartment,Removed,020 8012 3002,Leasehold,1,2017/10/23 16:39:41,http://www.rightmove.co.uk/property-for-sale/property-47839344.html
"Headfort Place, SW1X",KNI160075,4,False,48056508,51.500494450483664,-0.15169413621396782,SW1X,4250000,terraced house,Sold STC,020 8012 8915,Freehold,1,2017/08/01 09:51:04,http://www.rightmove.co.uk/property-for-sale/property-48056508.html
"Lupus Street, London",101277000397,2,False,59589500,51.4878,-0.137581,SW1V,475,flat,,020 8012 4381,,2,2017/09/25 15:28:06,http://www.rightmove.co.uk/property-to-rent/property-59589500.html
